Category,Company Name,Street,Suburb,State,Code,Country,Phone,Website,Mobile,Fax,Postal Address,Email,Longitude,Latitude,Charge Per Session(in dollars)
Hospital Equipment & Supplies,A E Atherton & Sons Pty Ltd,11 Port Wakefield,Gepps Cross,SA,5094,Australia,(08) 8262 9044,victor.kerr@reddiff.com,0441 164 978,(03) 6425 6467,Ap #160-9452 Lorem St.|WA|9393|Australia,non.massa.non@accumsan.com,138.5986,-34.84588,
Hospitals--Public,A Party World,629 Lower North East Rd,Campbelltown,SA,5074,Australia,(08) 8365 1999,heather.roberts@reddiff.com,0430 558 518,(03) 6057 7746,Ap #296-895 Nascetur Av.|TAS|5450|Australia,dapibus.ligula.Aliquam@eleifendegestasSed.ca,138.66385,-34.87719,
Hospital Equipment & Supplies,A.B.C. Of Signs,,Yarrambat,VIC,3091,Australia,(02) 8748 5689,colin.dickens@reddiff.com,0418 353 036,(03) 5460 1163,P.O. Box 281,a@nunc.ca,145.132637,-37.637706,
Hospital Equipment & Supplies,AA Hospital Equipment Co,30 Belu Dr,Glenmore Park,NSW,2745,Australia,(02) 9748 4778,adam.tucker@reddiff.com,0468 753 874,(03) 6076 1432,Ap #892-5852 Metus. St.|NT|8305|Australia,egestas.nunc@et.co.uk,150.672409,-33.789449,
Hospital Equipment & Supplies,AA Maroondah Home Healthcare,34 Railway Ave,Ringwood East,VIC,3135,Australia,(03) 9879 8885,ella.gibson@reddiff.com,0440 573 763,(03) 9537 1750,P.O. Box 999,amet@nisiMauris.ca,145.24899,-37.81284,
Hospital Equipment & Supplies,Abbott Australasia Pty Ltd,666 Doncaster Rd,Doncaster,VIC,3108,Australia,(03) 9843 7100,andrew.nolan@reddiff.com,0429 860 440,(03) 0715 5391,Ap #102-2880 Mollis Av.|SA|7215|Australia,Curabitur.consequat.lectus@nisl.org,145.12935,-37.78774,
Hospital Equipment & Supplies,Able Service,Unit 4/ 16 Dividend St,Mansfield,QLD,4122,Australia,(07) 3349 2555,leonard.paige@reddiff.com,0439 460 820,(03) 5716 5608,P.O. Box 784,ut.molestie.in@vitae.org,153.1034,-27.53182,
Hospital Equipment & Supplies,Abletec Solutions,PO Box 210,Kingsway,WA,6065,Australia,(08) 9409 4150,samantha.knox@reddiff.com,0446 938 566,(03) 3435 0367,Ap #810-692 Vitae St.|WA|7684|Australia,neque.Nullam.ut@congue.org,115.866258,-31.813168,
Hospitals--Public,Aboriginal Health,Morrison St,Camooweal,QLD,4828,Australia,(07) 4748 2000,emily.wallace@reddiff.com,0443 630 634,(03) 1213 3789,8367 Tellus. Ave|SA|6551|Australia,lorem@molestie.co.uk,138.120597,-19.919578,
Hospital Equipment & Supplies,Acetek Systems Pty Ltd,Unit 1/ 105 Derby St,Silverwater,NSW,1811,Australia,(02) 8748 9000,jan.ince@reddiff.com,0493 443 849,(03) 3559 3452,495-8996 Ipsum. St.|WA|8538|Australia,dapibus.ligula@interdumfeugiatSed.ca,151.03811,-33.83333,
Hospital Equipment & Supplies,Acetek Systems Pty Ltd,Unit 1/ 105 Derby St,Silverwater,NSW,2264,Australia,(02) 8748 9000,felicity.wilson@reddiff.com,0408 935 502,(03) 0874 2902,Ap #418-4287 Integer Rd.|NT|5850|Australia,et.magnis.dis@sed.net,151.038108,-33.833325,
Hospital Equipment & Supplies,Ackermann,Unit 3/ 29 Mitchell Rd,Brookvale,NSW,2100,Australia,(02) 9939 0933,peter.watson@reddiff.com,0494 245 889,(03) 2711 7572,P.O. Box 168,tortor.nibh.sit@Fuscefermentumfermentum.org,151.27457,-33.76479,
Hospital Equipment & Supplies,Ackermann,15 Harker St,Burwood,VIC,3125,Australia,(03) 9889 8833,connor.walker@reddiff.com,0467 605 090,(03) 7787 9558,230-1613 Nec Av.|WA|7823|Australia,fames.ac.turpis@metusAenean.ca,145.10444,-37.85337,
Hospital Equipment & Supplies,Acrovyn Wall Protection Systems,1 Endeavour Rd,Caringbah,NSW,2229,Australia,(02) 8543 4000,maria.lyman@reddiff.com,0473 435 221,(03) 9517 8941,P.O. Box 665,dictum@suscipitnonummy.edu,151.13027,-34.03165,
Hospital Equipment & Supplies,Active Rehabilitation Equipment,78 Beischer St,Bendigo East,VIC,3550,Australia,(03) 5441 8722,sam.bond@reddiff.com,0411 392 079,(03) 2163 7603,167-6123 Viverra. Rd.|NT|5912|Australia,est.tempor@Donecvitaeerat.edu,144.30771,-36.75102,
Hospitals--Private,Adelaide Clinic,33 Park Tce,Gilberton,SA,5081,Australia,(08) 8269 8100,heather.dowd@reddiff.com,0419 607 554,(03) 5740 3669,P.O. Box 770,tellus.sem.mollis@etipsumcursus.com,138.61373,-34.90647,
Hospitals--Private,Adelaide Day Surgery,18 North Tce,Adelaide,SA,5000,Australia,(08) 8239 4900,jasmine.arnold@reddiff.com,0481 950 540,(03) 3920 1242,P.O. Box 631,Donec@tellus.edu,138.58887,-34.92264,
Hospital Equipment & Supplies,ADL Health Pty Ltd,Unit 1/ 3 Virgil St,Hyde Park,QLD,4812,Australia,(07) 4772 0066,yvonne.nolan@reddiff.com,0427 458 321,(03) 3576 1632,4344 Vivamus Street|VIC|9482|Australia,mi@aliquet.com,146.7939,-19.27285,
Hospital Equipment & Supplies,Admed Hospital Supplies Pty Ltd,4 Noonan Pl,Ingleburn,NSW,1890,Australia,1300 133 120,molly.mackay@reddiff.com,0483 312 154,(03) 5920 0168,3612 Vitae,lorem@molestieintempus.com,150.86234,-33.98851,
Hospital Equipment & Supplies,Adteck Pty Ltd,U 3c/ 13 Forrester St,Kingsgrove,NSW,2208,Australia,(02) 9554 3222,anne.bell@reddiff.com,0429 245 850,(03) 3364 0765,P.O. Box 429,lacus.Cras@sodalespurusin.ca,151.0973,-33.93887,
Hospital Equipment & Supplies,Advanced Electronic Services,20 Mulsanne Way,Warranwood,VIC,3134,Australia,(03) 9879 0562,christian.peters@reddiff.com,0490 432 635,(03) 4767 3240,3271 Vulputate Rd.|WA|2623|Australia,hymenaeos@euligulaAenean.com,145.24302,-37.77434,
